id|name|cost|type|power|toughness|oracleText|edition|rarity|colorType|cmc
1039|Gate to Phyrexia|{B}{B}|Enchantment| | |Sacrifice a creature: Destroy target artifact. Play this ability only during your upkeep and only once each turn.|Antiquities |Uncommon|null|0
103|Creature Bond|{1}{U}|Enchantment - Aura| | |Enchant creature <br>When enchanted creature is put into a graveyard, Creature Bond deals damage equal to that creature's toughness to the creature's controller.|Limited Edition Alpha |Common|null|0
10408|Retaliation|{2}{G}|Enchantment| | |Creatures you control have "Whenever this creature becomes blocked, it gets +1/+1 until end of turn for each creature blocking it."|Urza's Saga |Uncommon|null|0
1040|Haunting Wind|{3}{B}|Enchantment| | |Whenever an artifact becomes tapped or a player plays an artifact's activated ability without {T} in its activation cost, Haunting Wind deals 1 damage to that artifact's controller.|Antiquities |Uncommon|null|0
10419|Remembrance|{3}{W}|Enchantment| | |Whenever a nontoken creature you control is put into a graveyard from play, you may search your library for a creature card with the same name as that creature, reveal the card and put it into your hand. If you do, shuffle your library.|Urza's Saga |Rare|null|0
10420|Annul|{U}|Instant| | |Counter target artifact or enchantment spell.|Urza's Saga |Common|null|0
10421|Energy Field|{1}{U}|Enchantment| | |Prevent all damage that would be dealt to you by sources you don't control. <br> <br>When a card is put into your graveyard, sacrifice Energy Field.|Urza's Saga |Rare|null|0
10422|Gaea's Cradle| |Legendary Land| | |{T}: Add {G} to your mana pool for each creature you control.|Urza's Saga |Rare|null|0
10423|Time Spiral|{4}{U}{U}|Sorcery| | |Each player shuffles his or her graveyard and hand into his or her library, then draws seven cards. You untap up to six lands. <br>Remove Time Spiral from the game.|Urza's Saga |Rare|null|0
10425|Fiery Mantle|{1}{R}|Enchantment - Aura| | |Enchant creature <br>When Fiery Mantle is put into a graveyard from play, return Fiery Mantle to its owner's hand. <br>{R}: Enchanted creature gets +1/+0 until end of turn.|Urza's Saga |Common|null|0
10427|Diabolic Servitude|{3}{B}|Enchantment| | |When Diabolic Servitude comes into play, return target creature card from your graveyard to play. <br>When the returned creature is put into a graveyard, remove that creature from the game and return Diabolic Servitude to its owner's hand. <br>When Diabolic Servitude leaves play, remove that creature from the game.|Urza's Saga |Uncommon|null|0
1042|Phyrexian Gremlins|{2}{B}|Creature - Ouphe|1|1|You may choose not to untap Phyrexian Gremlins during your untap step. <br>{T}: Tap target artifact. As long as Phyrexian Gremlins remains tapped, that artifact doesn't untap during its controller's untap step.|Antiquities |Common|null|0
1043|Power Artifact|{U}{U}|Enchantment - Aura| | |Enchant artifact <br>Enchanted artifact's activated abilities cost up to {2} less to play. If this would make an ability cost 0 or less mana to play, it costs {1}, plus any nonmana costs.|Antiquities |Uncommon|null|0
1044|Priest of Yawgmoth|{1}{B}|Creature - Human Cleric|1|2|{T}, Sacrifice an artifact: Add to your mana pool an amount of black mana equal to the sacrificed artifact's converted mana cost.|Antiquities |Common|null|0
10462|Lingering Mirage|{1}{U}|Enchantment - Aura| | |Enchant land <br>Enchanted land is an Island. <br>Cycling {2} <I>(</I>{2}<I>, Discard this card: Draw a card.)</I>|Urza's Saga |Uncommon|null|0
10466|Meltdown|{X}{R}|Sorcery| | |Destroy each artifact with converted mana cost X or less.|Urza's Saga |Uncommon|null|0
1047|Transmute Artifact|{U}{U}|Sorcery| | |As an additional cost to play Transmute Artifact, sacrifice an artifact. <br> <br>Search your library for an artifact card. If that card's converted mana cost is less than or equal to the sacrificed artifact's converted mana cost, put it into play. If it's greater, you may pay the cost difference. If you do, put it into play. If you don't, put it into its owner's graveyard. Then shuffle your library.|Antiquities |Uncommon|null|0
10482|Shivan Gorge| |Legendary Land| | |{T}: Add {1} to your mana pool. <br> <br>{2}{R}, {T}: Shivan Gorge deals 1 damage to each opponent.|Urza's Saga |Rare|null|0
10484|Wei Night Raiders|{2}{B}{B}|Creature - Human Soldier|2|2|Horsemanship <br>Whenever Wei Night Raiders deals damage to an opponent, that player discards a card.|Portal Three Kingdoms |Uncommon|null|0
10485|Wu Admiral|{4}{U}|Creature - Human Soldier|3|3|Wu Admiral gets +1/+1 as long as an opponent controls an Island.|Portal Three Kingdoms |Uncommon|null|0
10486|Flanking Troops|{2}{W}{W}|Creature - Human Soldier|2|2|Whenever Flanking Troops attacks, you may tap target creature.|Portal Three Kingdoms |Uncommon|null|0
10487|Alert Shu Infantry|{2}{W}|Creature - Human Soldier|2|2|Vigilance|Portal Three Kingdoms |Uncommon|null|0
10488|Shu Soldier-Farmers|{4}{W}|Creature - Human Soldier|2|4|When Shu Soldier-Farmers comes into play, you gain 4 life.|Portal Three Kingdoms |Uncommon|null|0
10489|Shu Foot Soldiers|{2}{W}|Creature - Human Soldier|2|3| |Portal Three Kingdoms |Common|null|0
10490|Kongming, Sleeping Dragon|{2}{W}{W}|Legendary Creature - Human Advisor|2|2|Other creatures you control get +1/+1.|Portal Three Kingdoms |Rare|null|0
10491|Loyal Retainers|{2}{W}|Creature - Human Advisor|1|1|Sacrifice Loyal Retainers: Return target legendary creature card from your graveyard to play. Play this ability only during your turn, before the combat phase.|Portal Three Kingdoms |Uncommon|null|0
10492|Taunting Challenge|{1}{G}{G}|Sorcery| | |All creatures able to block target creature this turn do so.|Portal Three Kingdoms |Rare|null|0
10494|Guan Yu, Sainted Warrior|{3}{W}{W}|Legendary Creature - Human Soldier Warrior|3|5|Horsemanship <br>When Guan Yu, Sainted Warrior is put into your graveyard from play, you may shuffle Guan Yu into your library.|Portal Three Kingdoms |Rare|null|0
10495|Kongming's Contraptions|{3}{W}|Creature - Human Soldier|2|4|{T}: Kongming's Contraptions deals 2 damage to target attacking creature. Play this ability only during the declare attackers step, and only on an opponent's turn.|Portal Three Kingdoms |Rare|null|0
10496|Riding Red Hare|{2}{W}|Sorcery| | |Target creature gets +3/+3 and gains horsemanship until end of turn.|Portal Three Kingdoms |Common|null|0
10497|Shu Elite Companions|{4}{W}|Creature - Human Soldier|3|3|Horsemanship|Portal Three Kingdoms |Uncommon|null|0
10498|Wu Longbowman|{2}{U}|Creature - Human Soldier Archer|1|1|{T}: Wu Longbowman deals 1 damage to target creature or player. Play this ability only during your turn, before the combat phase.|Portal Three Kingdoms |Uncommon|null|0
10499|Liu Bei, Lord of Shu|{3}{W}{W}|Legendary Creature - Human Soldier|2|4|Horsemanship <br>Liu Bei, Lord of Shu gets +2/+2 as long as you control a permanent named Guan Yu, Sainted Warrior or a permanent named Zhang Fei, Fierce Warrior.|Portal Three Kingdoms |Rare|null|0
1049|Yawgmoth Demon|{4}{B}{B}|Creature - Demon|6|6|Flying <i>(This creature can't be blocked except by creatures with flying.)</i> <br>First strike <i>(This creature deals combat damage before creatures without first strike.)</i> <br>At the beginning of your upkeep, you may sacrifice an artifact. If you don't, tap Yawgmoth Demon and it deals 2 damage to you.|Antiquities |Rare|null|0
104|Drain Power|{U}{U}|Sorcery| | |Target player plays a mana ability of each land he or she controls, then empties his or her mana pool. Add mana to your mana pool equal to the type and amount emptied from that player's mana pool this way.|Limited Edition Alpha |Rare|null|0
10500|Ravages of War|{3}{W}|Sorcery| | |Destroy all lands.|Portal Three Kingdoms |Rare|null|0
10501|Red Cliffs Armada|{4}{U}|Creature - Human Soldier|5|4|Red Cliffs Armada can't attack unless defending player controls an Island.|Portal Three Kingdoms |Uncommon|null|0
10502|Shu General|{3}{W}|Creature - Human Soldier|2|2|Horsemanship, vigilance|Portal Three Kingdoms |Uncommon|null|0
10503|Meng Huo's Horde|{4}{G}|Creature - Human Soldier|4|5| |Portal Three Kingdoms |Common|null|0
10504|Empty City Ruse|{W}|Sorcery| | |Target opponent skips all combat phases of his or her next turn.|Portal Three Kingdoms |Uncommon|null|0
10505|Forest Bear|{1}{G}|Creature - Bear|2|2| |Portal Three Kingdoms |Common|null|0
10506|Zodiac Rooster|{1}{G}|Creature - Bird|2|1|Plainswalk|Portal Three Kingdoms |Common|null|0
10508|Stone Catapult|{4}{B}|Creature - Human Soldier|1|2|{T}: Destroy target tapped nonblack creature. Play this ability only during your turn, before the combat phase.|Portal Three Kingdoms |Rare|null|0
10509|False Defeat|{3}{W}|Sorcery| | |Return target creature card from your graveyard to play.|Portal Three Kingdoms |Common|null|0
1050|Argothian Pixies|{1}{G}|Creature - Faerie|2|1|Argothian Pixies can't be blocked by artifact creatures. <br>Prevent all damage that would be dealt to Argothian Pixies by artifact creatures.|Antiquities |Common|null|0
10510|Zodiac Dragon|{7}{R}{R}|Creature - Dragon|8|8|When Zodiac Dragon is put into your graveyard from play, you may return it to your hand.|Portal Three Kingdoms |Rare|null|0
10511|Wei Elite Companions|{4}{B}|Creature - Human Soldier|3|3|Horsemanship|Portal Three Kingdoms |Uncommon|null|0
10512|Desperate Charge|{2}{B}|Sorcery| | |Creatures you control get +2/+0 until end of turn.|Portal Three Kingdoms |Uncommon|null|0
10513|Sun Quan, Lord of Wu|{4}{U}{U}|Legendary Creature - Human Soldier|4|4|Creatures you control have horsemanship.|Portal Three Kingdoms |Rare|null|0
10515|Imperial Edict|{1}{B}|Sorcery| | |Target opponent sacrifices a creature.|Portal Three Kingdoms |Common|null|0
10516|Yuan Shao, the Indecisive|{4}{R}|Legendary Creature - Human Soldier|2|3|Horsemanship <br>Each creature you control can't be blocked by more than one creature.|Portal Three Kingdoms |Rare|null|0
10517|Wei Scout|{1}{B}|Creature - Human Soldier Scout|1|1|Horsemanship|Portal Three Kingdoms |Common|null|0
10518|Famine|{3}{B}{B}|Sorcery| | |Famine deals 3 damage to each creature and each player.|Portal Three Kingdoms |Uncommon|null|0
10519|Wei Infantry|{1}{B}|Creature - Human Soldier|2|1| |Portal Three Kingdoms |Common|null|0
1051|Argothian Treefolk|{3}{G}{G}|Creature - Treefolk|3|5|Prevent all damage that would be dealt to Argothian Treefolk by artifacts.|Antiquities |Common|null|0
10520|Zhang He, Wei General|{3}{B}{B}|Legendary Creature - Human Soldier|4|2|Horsemanship <br>Whenever Zhang He, Wei General attacks, each other creature you control gets +1/+0 until end of turn.|Portal Three Kingdoms |Rare|null|0
10521|Overwhelming Forces|{6}{B}{B}|Sorcery| | |Destroy all creatures target opponent controls. Draw a card for each creature destroyed this way.|Portal Three Kingdoms |Rare|null|0
10522|Wolf Pack|{6}{G}{G}|Creature - Wolf|7|6|You may have Wolf Pack assign its combat damage as though it weren't blocked.|Portal Three Kingdoms |Rare|null|0
10523|Heavy Fog|{1}{G}|Instant| | |Play Heavy Fog only during the declare attackers step and only if you are the defending player. <br>Prevent all damage that would be dealt to you this turn by attacking creatures.|Portal Three Kingdoms |Uncommon|null|0
10524|Sage's Knowledge|{2}{U}|Sorcery| | |Return target sorcery card from your graveyard to your hand.|Portal Three Kingdoms |Common|null|0
10525|Zhou Yu, Chief Commander|{5}{U}{U}|Legendary Creature - Human Soldier|8|8|Zhou Yu, Chief Commander can't attack unless defending player controls an Island.|Portal Three Kingdoms |Rare|null|0
10526|Rolling Earthquake|{X}{R}|Sorcery| | |Rolling Earthquake deals X damage to each creature without horsemanship and each player.|Portal Three Kingdoms |Rare|null|0
10528|Extinguish|{1}{U}|Instant| | |Counter target sorcery spell.|Portal Three Kingdoms |Common|null|0
10529|Wu Spy|{1}{U}|Creature - Human Soldier Rogue|1|1|When Wu Spy comes into play, look at the top two cards of target player's library. Put one of them into his or her graveyard.|Portal Three Kingdoms |Uncommon|null|0
1052|Citanul Druid|{1}{G}|Creature - Human Druid|1|1|Whenever an opponent plays an artifact spell, put a +1/+1 counter on Citanul Druid.|Antiquities |Uncommon|null|0
10530|Preemptive Strike|{1}{U}|Instant| | |Counter target creature spell.|Portal Three Kingdoms |Common|null|0
10533|Cunning Advisor|{3}{B}|Creature - Human Advisor|1|1|{T}: Target opponent discards a card. Play this ability only during your turn, before the combat phase.|Portal Three Kingdoms |Uncommon|null|0
10534|Zodiac Dog|{2}{R}|Creature - Hound|2|2|Mountainwalk|Portal Three Kingdoms |Common|null|0
10535|Fire Bowman|{R}|Creature - Human Soldier Archer|1|1|Sacrifice Fire Bowman: Fire Bowman deals 1 damage to target creature or player. Play this ability only during your turn, before the combat phase.|Portal Three Kingdoms |Uncommon|null|0
10536|Lu Bu, Master-at-Arms|{5}{R}|Legendary Creature - Human Soldier Warrior|4|3|Horsemanship, haste|Portal Three Kingdoms |Rare|null|0
10537|Yellow Scarves Cavalry|{1}{R}|Creature - Human Soldier|1|1|Horsemanship <br>Yellow Scarves Cavalry can't block.|Portal Three Kingdoms |Common|null|0
10538|Control of the Court|{1}{R}|Sorcery| | |Draw four cards, then discard three cards at random.|Portal Three Kingdoms |Uncommon|null|0
10539|Imperial Recruiter|{2}{R}|Creature - Human Advisor|1|1|When Imperial Recruiter comes into play, search your library for a creature card with power 2 or less, reveal that card, and put it into your hand. Then shuffle your library.|Portal Three Kingdoms |Uncommon|null|0
10540|Zodiac Goat|{R}|Creature - Goat|1|1|Mountainwalk|Portal Three Kingdoms |Common|null|0
10541|Independent Troops|{1}{R}|Creature - Human Soldier|2|1| |Portal Three Kingdoms |Common|null|0
10542|Yellow Scarves Troops|{1}{R}|Creature - Human Soldier|2|2|Yellow Scarves Troops can't block.|Portal Three Kingdoms |Common|null|0
10543|Eunuchs' Intrigues|{2}{R}|Sorcery| | |Target opponent chooses a creature he or she controls. Other creatures he or she controls can't block this turn.|Portal Three Kingdoms |Uncommon|null|0
10544|Diaochan, Artful Beauty|{3}{R}|Legendary Creature - Human Advisor|1|1|{T}: Destroy target creature of your choice, then destroy target creature of an opponent's choice. Play this ability only during your turn, before the combat phase.|Portal Three Kingdoms |Rare|null|0
10545|Southern Elephant|{3}{G}|Creature - Elephant|3|4| |Portal Three Kingdoms |Common|null|0
10546|Ghostly Visit|{2}{B}|Sorcery| | |Destroy target nonblack creature.|Portal Three Kingdoms |Common|null|0
10547|Marshaling the Troops|{1}{G}|Sorcery| | |Tap any number of untapped creatures you control. You gain 4 life for each creature tapped this way.|Portal Three Kingdoms |Rare|null|0
10548|Cao Cao, Lord of Wei|{3}{B}{B}|Legendary Creature - Human Soldier|3|3|{T}: Target opponent discards two cards. Play this ability only during your turn, before the combat phase.|Portal Three Kingdoms |Rare|null|0
10549|Borrowing the East Wind|{X}{G}{G}|Sorcery| | |Borrowing the East Wind deals X damage to each creature with horsemanship and each player.|Portal Three Kingdoms |Rare|null|0
1054|Gaea's Avenger|{1}{G}{G}|Creature - Treefolk|1+*|1+*|Gaea's Avenger's power and toughness are each equal to 1 plus the number of artifacts your opponents control.|Antiquities |Rare|null|0
10552|Warrior's Oath|{R}{R}|Sorcery| | |Take an extra turn after this one. At the end of that turn, you lose the game.|Portal Three Kingdoms |Rare|null|0
10553|Eightfold Maze|{2}{W}|Instant| | |Play Eightfold Maze only during the declare attackers step and only if you are the defending player. <br> <br>Destroy target attacking creature.|Portal Three Kingdoms |Rare|null|0
10554|Stolen Grain|{4}{B}{B}|Sorcery| | |Stolen Grain deals 5 damage to target opponent. You gain 5 life.|Portal Three Kingdoms |Uncommon|null|0
10555|Burning Fields|{4}{R}|Sorcery| | |Burning Fields deals 5 damage to target opponent.|Portal Three Kingdoms |Common|null|0
10557|Wei Ambush Force|{1}{B}|Creature - Human Soldier|1|1|Whenever Wei Ambush Force attacks, it gets +2/+0 until end of turn.|Portal Three Kingdoms |Common|null|0
10559|Yuan Shao's Infantry|{3}{R}|Creature - Human Soldier|2|2|Whenever Yuan Shao's Infantry attacks alone, Yuan Shao's Infantry is unblockable this combat.|Portal Three Kingdoms |Uncommon|null|0
1055|Powerleech|{G}{G}|Enchantment| | |Whenever an artifact an opponent controls becomes tapped or an opponent plays an artifact's activated ability without {T} in its activation cost, you gain 1 life.|Antiquities |Uncommon|null|0
10560|Deception|{2}{B}|Sorcery| | |Target opponent discards two cards.|Portal Three Kingdoms |Common|null|0
10561|Wei Strike Force|{2}{B}|Creature - Human Soldier|2|1|Horsemanship|Portal Three Kingdoms |Common|null|0
10562|Wielding the Green Dragon|{1}{G}|Sorcery| | |Target creature gets +4/+4 until end of turn.|Portal Three Kingdoms |Common|null|0
10564|Zodiac Rat|{B}|Creature - Rat|1|1|Swampwalk|Portal Three Kingdoms |Common|null|0
10566|Spring of Eternal Peace|{3}{G}{G}|Sorcery| | |You gain 8 life.|Portal Three Kingdoms |Common|null|0
10567|Three Visits|{1}{G}|Sorcery| | |Search your library for a Forest card and put that card into play. Then shuffle your library.|Portal Three Kingdoms |Common|null|0
10569|Taoist Hermit|{2}{G}|Creature - Human Mystic|2|2|Taoist Hermit can't be the target of spells or abilities your opponents control.|Portal Three Kingdoms |Uncommon|null|0
10570|Hua Tuo, Honored Physician|{1}{G}{G}|Legendary Creature - Human|1|2|{T}: Put target creature card from your graveyard on top of your library. Play this ability only during your turn, before the combat phase.|Portal Three Kingdoms |Rare|null|0
10571|Trained Jackal|{G}|Creature - Hound|1|2| |Portal Three Kingdoms |Common|null|0
10572|Hunting Cheetah|{2}{G}|Creature - Cat|2|3|Whenever Hunting Cheetah deals damage to an opponent, you may search your library for a Forest card, reveal that card, and put it into your hand. Then shuffle your library.|Portal Three Kingdoms |Uncommon|null|0
10573|Trained Cheetah|{2}{G}|Creature - Cat|2|2|Whenever Trained Cheetah becomes blocked, it gets +1/+1 until end of turn.|Portal Three Kingdoms |Uncommon|null|0
10574|Barbarian General|{4}{R}|Creature - Human Barbarian Soldier|3|2|Horsemanship|Portal Three Kingdoms |Uncommon|null|0
10576|Renegade Troops|{4}{R}|Creature - Human Soldier|4|2|Haste|Portal Three Kingdoms |Uncommon|null|0
10577|Yellow Scarves General|{3}{R}|Creature - Human Soldier|2|2|Horsemanship <br>Yellow Scarves General can't block.|Portal Three Kingdoms |Rare|null|0
10578|Barbarian Horde|{3}{R}|Creature - Human Barbarian Soldier|3|3| |Portal Three Kingdoms |Common|null|0
10579|Misfortune's Gain|{3}{W}|Sorcery| | |Destroy target creature. Its owner gains 4 life.|Portal Three Kingdoms |Common|null|0
1057|Artifact Blast|{R}|Instant| | |Counter target artifact spell.|Antiquities |Common|null|0
10582|Zodiac Rabbit|{G}|Creature - Rabbit|1|1|Forestwalk|Portal Three Kingdoms |Common|null|0
10583|Wei Assassins|{3}{B}{B}|Creature - Human Soldier Assassin|3|2|When Wei Assassins comes into play, target opponent sacrifices a creature.|Portal Three Kingdoms |Uncommon|null|0
10584|Young Wei Recruits|{1}{B}|Creature - Human Soldier|2|2|Young Wei Recruits can't block.|Portal Three Kingdoms |Common|null|0
10585|Mountain Bandit|{R}|Creature - Human Soldier Rogue|1|1|Haste|Portal Three Kingdoms |Common|null|0
10586|Zodiac Pig|{3}{B}|Creature - Boar|3|3|Swampwalk|Portal Three Kingdoms |Uncommon|null|0
10587|Poison Arrow|{4}{B}{B}|Sorcery| | |Destroy target nonblack creature. You gain 3 life.|Portal Three Kingdoms |Uncommon|null|0
10588|Return to Battle|{B}|Sorcery| | |Return target creature card from your graveyard to your hand.|Portal Three Kingdoms |Common|null|0
10590|Xiahou Dun, the One-Eyed|{2}{B}{B}|Legendary Creature - Human Soldier|3|2|Horsemanship <br>Sacrifice Xiahou Dun, the One-Eyed: Return target black card from your graveyard to your hand. Play this ability only during your turn, before the combat phase.|Portal Three Kingdoms |Rare|null|0
10591|Slashing Tiger|{2}{G}{G}|Creature - Cat|3|3|Whenever Slashing Tiger becomes blocked, it gets +2/+2 until end of turn.|Portal Three Kingdoms |Rare|null|0
10593|Champion's Victory|{U}|Instant| | |Play Champion's Victory only during the declare attackers step and only if you are the defending player. <br>Return target attacking creature to its owner's hand.|Portal Three Kingdoms |Uncommon|null|0
10594|Zodiac Tiger|{2}{G}{G}|Creature - Cat|3|4|Forestwalk|Portal Three Kingdoms |Uncommon|null|0
10595|Corrupt Court Official|{1}{B}|Creature - Human Advisor|1|1|When Corrupt Court Official comes into play, target opponent discards a card.|Portal Three Kingdoms |Uncommon|null|0
10596|Virtuous Charge|{2}{W}|Sorcery| | |Creatures you control get +1/+1 until end of turn.|Portal Three Kingdoms |Common|null|0
10597|Guan Yu's 1,000-Li March|{4}{W}{W}|Sorcery| | |Destroy all tapped creatures.|Portal Three Kingdoms |Rare|null|0
10598|Zodiac Horse|{3}{G}|Creature - Horse|3|3|Islandwalk|Portal Three Kingdoms |Uncommon|null|0
10599|False Mourning|{G}|Sorcery| | |Put target card from your graveyard on top of your library.|Portal Three Kingdoms |Uncommon|null|0
105|Feedback|{2}{U}|Enchantment - Aura| | |Enchant enchantment <br>At the beginning of the upkeep of enchanted enchantment's controller, Feedback deals 1 damage to that player.|Limited Edition Alpha |Uncommon|null|0
10600|Wu Infantry|{1}{U}|Creature - Human Soldier|2|1| |Portal Three Kingdoms |Common|null|0
10601|Council of Advisors|{2}{U}|Creature - Human Advisor|1|1|When Council of Advisors comes into play, draw a card.|Portal Three Kingdoms |Uncommon|null|0
10602|Strategic Planning|{1}{U}|Sorcery| | |Look at the top three cards of your library. Put one of them into your hand and the rest into your graveyard.|Portal Three Kingdoms |Uncommon|null|0
10603|Rockslide Ambush|{1}{R}|Sorcery| | |Rockslide Ambush deals damage equal to the number of Mountains you control to target creature.|Portal Three Kingdoms |Uncommon|null|0
10604|Zhang Fei, Fierce Warrior|{4}{W}{W}|Legendary Creature - Human Soldier Warrior|4|4|Horsemanship, vigilance|Portal Three Kingdoms |Rare|null|0
10605|Wu Warship|{2}{U}|Creature - Human Soldier|3|3|Wu Warship can't attack unless defending player controls an Island.|Portal Three Kingdoms |Common|null|0
10608|Zodiac Snake|{2}{B}|Creature - Snake|2|2|Swampwalk|Portal Three Kingdoms |Common|null|0
10609|Lady Zhurong, Warrior Queen|{4}{G}|Legendary Creature - Human Soldier Warrior|4|3|Horsemanship|Portal Three Kingdoms |Rare|null|0
10610|Zuo Ci, the Mocking Sage|{1}{G}{G}|Legendary Creature - Human Advisor|1|2|Zuo Ci, the Mocking Sage can't be blocked by creatures with horsemanship. <br>Zuo Ci can't be the target of spells or abilities your opponents control.|Portal Three Kingdoms |Rare|null|0
10611|Wu Elite Cavalry|{3}{U}|Creature - Human Soldier|2|3|Horsemanship|Portal Three Kingdoms |Common|null|0
10612|Wu Scout|{1}{U}|Creature - Human Soldier Scout|1|1|Horsemanship <br>When Wu Scout comes into play, look at target opponent's hand.|Portal Three Kingdoms |Common|null|0
10613|Straw Soldiers|{1}{U}|Creature - Scarecrow Soldier|1|3| |Portal Three Kingdoms |Common|null|0
10614|Lu Su, Wu Advisor|{3}{U}{U}|Legendary Creature - Human Advisor|1|2|{T}: Draw a card. Play this ability only during your turn, before the combat phase.|Portal Three Kingdoms |Rare|null|0
10615|Wu Light Cavalry|{1}{U}|Creature - Human Soldier|1|2|Horsemanship|Portal Three Kingdoms |Common|null|0
10616|Lu Xun, Scholar General|{2}{U}{U}|Legendary Creature - Human Soldier|1|3|Horsemanship <br>Whenever Lu Xun, Scholar General deals damage to an opponent, you may draw a card.|Portal Three Kingdoms |Rare|null|0
10617|Shu Grain Caravan|{2}{W}|Creature - Human Soldier|2|2|When Shu Grain Caravan comes into play, you gain 2 life.|Portal Three Kingdoms |Common|null|0
10618|Shu Farmer|{1}{W}|Creature - Human|1|1|{T}: You gain 1 life. Play this ability only during your turn, before the combat phase.|Portal Three Kingdoms |Common|null|0
10619|Capture of Jingzhou|{3}{U}{U}|Sorcery| | |Take an extra turn after this one.|Portal Three Kingdoms |Rare|null|0
10620|Borrowing 100,000 Arrows|{2}{U}|Sorcery| | |Draw a card for each tapped creature target opponent controls.|Portal Three Kingdoms |Uncommon|null|0
10621|Broken Dam|{U}|Sorcery| | |Tap one or two target creatures without horsemanship.|Portal Three Kingdoms |Common|null|0
10622|Forced Retreat|{2}{U}|Sorcery| | |Put target creature on top of its owner's library.|Portal Three Kingdoms |Common|null|0
10623|Brilliant Plan|{4}{U}|Sorcery| | |Draw three cards.|Portal Three Kingdoms |Uncommon|null|0
10624|Shu Defender|{2}{W}|Creature - Human Soldier|2|2|Whenever Shu Defender blocks, it gets +0/+2 until end of turn.|Portal Three Kingdoms |Common|null|0
10625|Trip Wire|{2}{G}|Sorcery| | |Destroy target creature with horsemanship.|Portal Three Kingdoms |Uncommon|null|0
10626|Desert Sandstorm|{2}{R}|Sorcery| | |Desert Sandstorm deals 1 damage to each creature.|Portal Three Kingdoms |Common|null|0
10627|Shu Elite Infantry|{3}{W}|Creature - Human Soldier|3|3| |Portal Three Kingdoms |Common|null|0
10628|Counterintelligence|{2}{U}{U}|Sorcery| | |Return one or two target creatures to their owner's hand.|Portal Three Kingdoms |Uncommon|null|0
10629|Spoils of Victory|{2}{G}|Sorcery| | |Search your library for a basic land card and put that card into play. Then shuffle your library.|Portal Three Kingdoms |Uncommon|null|0
1062|Orcish Mechanics|{2}{R}|Creature - Orc|1|1|{T}, Sacrifice an artifact: Orcish Mechanics deals 2 damage to target creature or player.|Antiquities |Common|null|0
10630|Sima Yi, Wei Field Marshal|{5}{B}|Legendary Creature - Human Soldier|*|4|Sima Yi, Wei Field Marshal's power is equal to the number of Swamps you control.|Portal Three Kingdoms |Rare|null|0
10632|Fire Ambush|{1}{R}|Sorcery| | |Fire Ambush deals 3 damage to target creature or player.|Portal Three Kingdoms |Common|null|0
10635|Shu Cavalry|{2}{W}|Creature - Human Soldier|2|2|Horsemanship|Portal Three Kingdoms |Common|null|0
